,色泽,根蒂,敲声,纹理,脐部,触感,密度,含糖率,label
0,青绿,蜷缩,浊响,清晰,凹陷,硬滑,0.697,0.46,好瓜
1,乌黑,蜷缩,沉闷,清晰,凹陷,硬滑,0.774,0.376,好瓜
2,乌黑,蜷缩,浊响,清晰,凹陷,硬滑,0.634,0.264,好瓜
3,青绿,蜷缩,沉闷,清晰,凹陷,硬滑,0.608,0.318,好瓜
4,浅白,蜷缩,浊响,清晰,凹陷,硬滑,0.556,0.215,好瓜
5,青绿,稍蜷,浊响,清晰,稍凹,软粘,0.403,0.237,坏瓜
6,乌黑,稍蜷,浊响,稍糊,稍凹,软粘,0.481,0.149,坏瓜
7,乌黑,稍蜷,浊响,清晰,稍凹,硬滑,0.437,0.211,坏瓜
8,乌黑,稍蜷,沉闷,稍糊,稍凹,硬滑,0.666,0.091,坏瓜
9,青绿,硬挺,清脆,清晰,平坦,软粘,0.243,0.267,坏瓜
10,浅白,硬挺,清脆,模糊,平坦,硬滑,0.245,0.057,坏瓜
11,浅白,蜷缩,浊响,模糊,平坦,软粘,0.343,0.099,坏瓜
12,青绿,稍蜷,浊响,稍糊,凹陷,硬滑,0.639,0.161,坏瓜
13,浅白,稍蜷,沉闷,稍糊,凹陷,硬滑,0.657,0.198,坏瓜
14,乌黑,稍蜷,浊响,清晰,稍凹,软粘,0.36,0.37,坏瓜
15,浅白,蜷缩,浊响,模糊,平坦,硬滑,0.593,0.042,坏瓜
16,青绿,蜷缩,沉闷,稍糊,稍凹,硬滑,0.719,0.103,好瓜
